slotId|lecturerId|slotStart|slotEnd|available|createdAt
SL001|L001|2024-11-17T14:30:00|2024-11-17T15:30:00|false|2024-11-16T12:30:00
SL002|L002|2024-11-18T10:00:00|2024-11-18T11:00:00|false|2024-11-16T13:00:00
SL003|L003|2024-11-19T09:30:00|2024-11-19T10:30:00|false|2024-11-16T14:00:00
SL004|L004|2024-11-20T13:00:00|2024-11-20T14:00:00|false|2024-11-16T15:00:00
SL005|L005|2024-11-21T15:30:00|2024-11-21T16:30:00|false|2024-11-16T16:00:00
SL006|L006|2024-11-22T10:00:00|2024-11-27T11:00:00|false|2024-11-16T17:00:00
SL007|L006|2024-9-14T14:00:00|2024-12-23T15:00:00|true|2024-11-16T17:00:00
SL007|L006|2024-9-14T14:00:00|2024-12-23T15:00:00|true|2024-11-16T17:00:00
SL007|L006|2024-9-14T14:00:00|2024-12-23T15:00:00|true|2024-11-16T17:00:00
SL007|L006|2024-9-14T14:00:00|2024-12-23T15:00:00|true|2024-11-16T17:00:00
SL007|L006|2024-9-14T14:00:00|2024-12-23T15:00:00|true|2024-11-16T17:00:00
SL007|L006|2024-9-14T14:00:00|2024-12-23T15:00:00|true|2024-11-16T17:00:00
SL007|L006|2024-9-14T14:00:00|2024-12-23T15:00:00|true|2024-11-16T17:00:00
SL007|L006|2024-9-14T14:00:00|2024-12-23T15:00:00|true|2024-11-16T17:00:00
SL007|L006|2024-9-14T14:00:00|2024-12-23T15:00:00|true|2024-11-16T17:00:00
SL007|L006|2024-9-14T14:00:00|2024-12-23T15:00:00|true|2024-11-16T17:00:00
SL007|L006|2024-9-14T14:00:00|2024-12-23T15:00:00|true|2024-11-16T17:00:00
SL007|L006|2024-9-14T14:00:00|2024-12-23T15:00:00|true|2024-11-16T17:00:00
SL008|L001|2024-12-15T09:30:00|2024-12-28T10:30:00|false|2024-11-16T18:00:00
SL009|L002|2024-12-15T09:30:00|2024-12-28T10:30:00|true|2024-11-16T18:00:00
SL010|L003|2024-12-15T09:30:00|2024-12-28T10:30:00|true|2024-11-16T18:00:00
SL011|L005|2024-11-30T14:00:00|2024-11-30T15:00:00|true|2024-11-29T09:00:00
SL012|L005|2024-12-30T14:00:00|2024-13-30T15:00:00|true|2024-11-29T09:00:00
SL013|L001|2024-12-30T15:00:00|2024-12-30T16:00:00|true|2024-11-29T09:00:00
SL014|L001|2024-12-30T16:00:00|2024-12-30T17:00:00|true|2024-11-29T09:00:00
SL015|L001|2024-12-30T17:00:00|2024-12-30T18:00:00|true|2024-11-29T09:00:00
